code,name,sido,sigungu,eupmyeondong,ri,status,level,parent_code,sido_abbr,sido_en,name_en
4119210600,경기도 부천시 원미구 소사동,경기도,부천시 원미구,소사동,,존재,3,4119500000,경기,Gyeonggi,Gyeonggi Bucheon-si-Wonmi-gu Sosa-dong
4119210700,경기도 부천시 원미구 역곡동,경기도,부천시 원미구,역곡동,,존재,3,4119500000,경기,Gyeonggi,Gyeonggi Bucheon-si-Wonmi-gu Yeokgok-dong
4119210800,경기도 부천시 원미구 중동,경기도,부천시 원미구,중동,,존재,3,4119500000,경기,Gyeonggi,Gyeonggi Bucheon-si-Wonmi-gu Jung-dong
4119210900,경기도 부천시 원미구 상동,경기도,부천시 원미구,상동,,존재,3,4119500000,경기,Gyeonggi,Gyeonggi Bucheon-si-Wonmi-gu Sang-dong
4119300000,경기도 부천시 남구,경기도,부천시 남구,,,폐지,2,4119000000,경기,Gyeonggi,Gyeonggi Bucheon-si-Nam-gu
4119310100,경기도 부천시 남구 심곡동,경기도,부천시 남구,심곡동,,폐지,3,4119300000,경기,Gyeonggi,Gyeonggi Bucheon-si-Nam-gu Simgok-dong
4119310200,경기도 부천시 남구 소사동,경기도,부천시 남구,소사동,,폐지,3,4119300000,경기,Gyeonggi,Gyeonggi Bucheon-si-Nam-gu Sosa-dong
4119310300,경기도 부천시 남구 범박동,경기도,부천시 남구,범박동,,폐지,3,4119300000,경기,Gyeonggi,Gyeonggi Bucheon-si-Nam-gu Beombak-dong
4119310400,경기도 부천시 남구 괴안동,경기도,부천시 남구,괴안동,,폐지,3,4119300000,경기,Gyeonggi,Gyeonggi Bucheon-si-Nam-gu Goean-dong
4119310500,경기도 부천시 남구 역곡동,경기도,부천시 남구,역곡동,,폐지,3,4119300000,경기,Gyeonggi,Gyeonggi Bucheon-si-Nam-gu Yeokgok-dong
4119310600,경기도 부천시 남구 송내동,경기도,부천시 남구,송내동,,폐지,3,4119300000,경기,Gyeonggi,Gyeonggi Bucheon-si-Nam-gu Songnae-dong
4119310700,경기도 부천시 남구 중동,경기도,부천시 남구,중동,,폐지,3,4119300000,경기,Gyeonggi,Gyeonggi Bucheon-si-Nam-gu Jung-dong
4119310800,경기도 부천시 남구 상동,경기도,부천시 남구,상동,,폐지,3,4119300000,경기,Gyeonggi,Gyeonggi Bucheon-si-Nam-gu Sang-dong
4119310900,경기도 부천시 남구 옥길동,경기도,부천시 남구,옥길동,,폐지,3,4119300000,경기,Gyeonggi,Gyeonggi Bucheon-si-Nam-gu Okgil-dong
4119311000,경기도 부천시 남구 계수동,경기도,부천시 남구,계수동,,폐지,3,4119300000,경기,Gyeonggi,Gyeonggi Bucheon-si-Nam-gu Gyesu-dong
